representation,actor_id,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,n_samples,n_errors
egemaps,1,0.4836996336996337,0.5,0.5,0.5048351648351648,0.5166666666666667,60,29
egemaps,8,0.6184639502654208,0.671875,0.671875,0.6152504358386712,0.65,60,21
egemaps,13,0.45383635971871267,0.5,0.5,0.4598496927908693,0.4666666666666667,60,32
egemaps,18,0.5870951417004049,0.609375,0.609375,0.5862348178137651,0.6,60,24
egemaps,4,0.40549825991002464,0.4375,0.4375,0.43253147723735963,0.4666666666666667,60,32
egemaps,9,0.2878968253968254,0.34375,0.34375,0.3070899470899471,0.36666666666666664,60,38
egemaps,15,0.4683603896103896,0.5,0.5,0.4729177489177489,0.5,60,30
egemaps,19,0.5131856909430439,0.53125,0.53125,0.5073980703392469,0.5166666666666667,60,29
egemaps,5,0.525970695970696,0.578125,0.578125,0.5110354090354091,0.5666666666666667,60,26
egemaps,10,0.372771146478043,0.390625,0.390625,0.3976225562432459,0.4166666666666667,60,35
egemaps,16,0.6270273577658487,0.671875,0.671875,0.6466069593946832,0.6833333333333333,60,19
egemaps,20,0.5447958839406208,0.59375,0.59375,0.5400899685110211,0.5666666666666667,60,26
egemaps,3,0.5193713450292398,0.5,0.5,0.509551656920078,0.5,60,30
egemaps,11,0.3279788838612368,0.375,0.375,0.3165108094519859,0.36666666666666664,60,38
egemaps,17,0.3165160497397339,0.359375,0.359375,0.33761711972238284,0.38333333333333336,60,37
egemaps,22,0.4635004807639078,0.484375,0.484375,0.4822793006936229,0.5,60,30
egemaps,7,0.6108543417366946,0.625,0.625,0.651577964519141,0.6666666666666666,60,20
egemaps,12,0.37941919191919193,0.40625,0.40625,0.40471380471380475,0.43333333333333335,60,34
egemaps,14,0.5532432844932844,0.59375,0.59375,0.5567928367928368,0.6,60,24
egemaps,24,0.5043821374703727,0.546875,0.546875,0.5066350642821231,0.5166666666666667,60,29
wav2vec,1,0.4998181216931217,0.53125,0.53125,0.5109171075837742,0.55,60,27
wav2vec,8,0.6775568181818181,0.6875,0.6875,0.7005050505050505,0.7166666666666667,60,17
wav2vec,13,0.39249999999999996,0.5,0.5,0.39866666666666667,0.48333333333333334,60,31
wav2vec,18,0.6204951481267271,0.625,0.625,0.6237662532399375,0.6333333333333333,60,22
wav2vec,4,0.5002535841351631,0.5,0.5,0.4891593786330628,0.5,60,30
wav2vec,9,0.2800795680591077,0.3125,0.3125,0.27652931704082595,0.31666666666666665,60,41
wav2vec,15,0.5058316683316684,0.5625,0.5625,0.4951093351093351,0.5333333333333333,60,28
wav2vec,19,0.4681623931623931,0.53125,0.53125,0.45937321937321934,0.5166666666666667,60,29
wav2vec,5,0.7650706115779644,0.765625,0.765625,0.7589324618736382,0.7666666666666667,60,14
wav2vec,10,0.3974197099197099,0.4375,0.4375,0.42391435724769055,0.4666666666666667,60,32
wav2vec,16,0.5500804750804751,0.609375,0.609375,0.555983275983276,0.6,60,24
wav2vec,20,0.592334724958564,0.59375,0.59375,0.6051570399558016,0.6166666666666667,60,23
wav2vec,3,0.5670301757066463,0.609375,0.609375,0.5667369493251846,0.6166666666666667,60,23
wav2vec,11,0.4865635997988939,0.515625,0.515625,0.5190011731188202,0.55,60,27
wav2vec,17,0.3397784233310549,0.375,0.375,0.3624303182197919,0.4,60,36
wav2vec,22,0.5485082351858668,0.578125,0.578125,0.5517421175315912,0.5666666666666667,60,26
wav2vec,7,0.5227106227106227,0.53125,0.53125,0.5575579975579976,0.5666666666666667,60,26
wav2vec,12,0.6482793861251595,0.671875,0.671875,0.6470535674223922,0.6666666666666666,60,20
wav2vec,14,0.6122512635283534,0.65625,0.65625,0.5997346810969102,0.6333333333333333,60,22
wav2vec,24,0.5486305361305361,0.5625,0.5625,0.5518725718725719,0.5666666666666667,60,26
