representation,layer_strategy,pooling,protocol,target,model,refinement,fold,seed,result_type,n_input_features,n_features,trainable_params,best_epoch,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed_macro_f1_std
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,13,seed,9984,1536,64649,11.0,80.48934610001743,0.612021603522028,0.64453125,0.64453125,0.6231934141272002,0.6375,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,42,seed,9984,1536,64649,14.0,100.2722224999452,0.6302881683161896,0.640625,0.640625,0.6449569521868415,0.65,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,73,seed,9984,1536,64649,14.0,101.91547869995702,0.6488779544556587,0.64453125,0.64453125,0.6638536564698742,0.6583333333333333,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,13,seed,9984,1536,64649,8.0,58.425914100022055,0.5691536254956147,0.56640625,0.56640625,0.5820972005286557,0.5791666666666667,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,42,seed,9984,1536,64649,16.0,115.77965349995065,0.5663053531943457,0.55078125,0.55078125,0.5645528705677959,0.5541666666666667,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,73,seed,9984,1536,64649,7.0,51.45187029999215,0.6084014990369093,0.6015625,0.6015625,0.6045171545282587,0.6,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,13,seed,9984,1536,64649,7.0,51.14067500003148,0.6867441097346338,0.69140625,0.69140625,0.6949202127767717,0.6916666666666667,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,42,seed,9984,1536,64649,21.0,153.46270030003507,0.6905016620254172,0.6953125,0.6953125,0.6989282685536072,0.6958333333333333,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,2,73,seed,9984,1536,64649,8.0,59.87466630002018,0.6596195027676991,0.66796875,0.66796875,0.6696072081809705,0.6583333333333333,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,13,seed,9984,1536,64649,14.0,102.0352014999371,0.6338969041600184,0.640625,0.640625,0.6587653934228601,0.6708333333333333,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,42,seed,9984,1536,64649,16.0,116.48696140001994,0.6405249782307834,0.6484375,0.6484375,0.6359148154891796,0.6458333333333334,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,3,73,seed,9984,1536,64649,8.0,57.960674999980256,0.6474231503578511,0.6484375,0.6484375,0.6572513603817078,0.6583333333333333,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,13,seed,9984,1536,64649,19.0,139.64152270008344,0.7764311891709161,0.78515625,0.78515625,0.7815266017823106,0.7791666666666667,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,42,seed,9984,1536,64649,8.0,59.71311729995068,0.5680585839248401,0.5859375,0.5859375,0.5734967237540637,0.5875,
wav2vec_multilayer_sequence,uniform,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,73,seed,9984,1536,64649,8.0,58.776934499968775,0.7340130204825531,0.73828125,0.73828125,0.7371138885147234,0.7416666666666667,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,13,seed,9984,1536,64662,11.0,96.4878303000005,0.6182499529056192,0.6484375,0.6484375,0.6312614882275324,0.6458333333333334,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,42,seed,9984,1536,64662,14.0,122.83307990001049,0.6269544494881545,0.63671875,0.63671875,0.642084746120698,0.6458333333333334,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,73,seed,9984,1536,64662,10.0,87.03141040005721,0.6390688261801853,0.65625,0.65625,0.6523400812588644,0.6541666666666667,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,13,seed,9984,1536,64662,8.0,69.42054740001913,0.5770545096140616,0.57421875,0.57421875,0.5897183586420958,0.5875,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,42,seed,9984,1536,64662,16.0,138.39155129995197,0.5688792536905296,0.546875,0.546875,0.5657788962442573,0.55,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,73,seed,9984,1536,64662,12.0,104.15247550001368,0.6191686770042644,0.609375,0.609375,0.6217369113851937,0.6125,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,13,seed,9984,1536,64662,7.0,61.7281815999886,0.6902415712674123,0.6953125,0.6953125,0.6986508384117355,0.6958333333333333,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,42,seed,9984,1536,64662,21.0,187.68435379990842,0.6783877678224705,0.68359375,0.68359375,0.6860067814037976,0.6833333333333333,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,73,seed,9984,1536,64662,8.0,70.39081410004292,0.6681657969401221,0.67578125,0.67578125,0.6787232552982218,0.6666666666666666,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,13,seed,9984,1536,64662,17.0,147.40277200005949,0.5443249649508421,0.56640625,0.56640625,0.5592799626142316,0.5875,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,42,seed,9984,1536,64662,16.0,139.81274069997016,0.6325504286963691,0.64453125,0.64453125,0.6274086293191379,0.6416666666666667,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,73,seed,9984,1536,64662,8.0,69.8286549000768,0.651641766881465,0.65234375,0.65234375,0.6617512180068961,0.6625,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,13,seed,9984,1536,64662,19.0,167.40591729991138,0.7589731691734591,0.76953125,0.76953125,0.7651269360072454,0.7625,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,42,seed,9984,1536,64662,8.0,70.26039870001841,0.5853267130784956,0.6015625,0.6015625,0.5910151606170619,0.6041666666666666,
wav2vec_multilayer_sequence,learned,attentive_mean_std,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,73,seed,9984,1536,64662,8.0,70.2572556999512,0.7378191420437523,0.7421875,0.7421875,0.7425626404022247,0.7458333333333333,
