representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
egemaps,speaker_independent,emotion_original,random_forest,none,0,88,88,960,240,0.4556528000393882,0.4210229901678219,0.4296875,0.4296875,0.425902783715242,0.425,,,,,,,,,
egemaps,speaker_independent,emotion_original,random_forest,none,1,88,88,960,240,0.4541084000375122,0.4056521346960335,0.41015625,0.41015625,0.4136479912948168,0.4208333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_original,random_forest,none,2,88,88,960,240,0.447464199969545,0.4553784790490208,0.4609375,0.4609375,0.4659839578992024,0.475,,,,,,,,,
egemaps,speaker_independent,emotion_original,random_forest,none,3,88,88,960,240,0.4402338999789208,0.4426842117691827,0.453125,0.453125,0.4610853814426837,0.475,,,,,,,,,
egemaps,speaker_independent,emotion_original,random_forest,none,4,88,88,960,240,0.4409549999982118,0.4659254878369114,0.47265625,0.47265625,0.4715903616292135,0.4875,,,,,,,,,
egemaps,speaker_independent,emotion_original,logistic_regression,none,0,88,88,960,240,0.0771701999474316,0.5560056891773626,0.5703125,0.5703125,0.5645013065510914,0.5583333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_original,logistic_regression,none,1,88,88,960,240,0.0639833000022918,0.4504009668383482,0.453125,0.453125,0.456618174151381,0.4625,,,,,,,,,
egemaps,speaker_independent,emotion_original,logistic_regression,none,2,88,88,960,240,0.0697751999832689,0.5483959532662288,0.55859375,0.55859375,0.5525232510515449,0.5583333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_original,logistic_regression,none,3,88,88,960,240,0.0634164999937638,0.4177930316248672,0.4296875,0.4296875,0.4265982813522394,0.4375,,,,,,,,,
egemaps,speaker_independent,emotion_original,logistic_regression,none,4,88,88,960,240,0.0570051999529823,0.5432903189561814,0.54296875,0.54296875,0.5566525306961173,0.5541666666666667,,,,,,,,,
egemaps,speaker_independent,emotion_original,mlp,none,0,88,88,960,240,0.6591594000346959,0.4724656296084867,0.48046875,0.48046875,0.4861855604712747,0.4875,,,,,,,,,
egemaps,speaker_independent,emotion_original,mlp,none,1,88,88,960,240,0.5670555999968201,0.4626823619299011,0.4765625,0.4765625,0.4751370481275268,0.4916666666666666,,,,,,,,,
egemaps,speaker_independent,emotion_original,mlp,none,2,88,88,960,240,0.8090597999980673,0.5235923796576888,0.52734375,0.52734375,0.5299271097301061,0.5375,,,,,,,,,
egemaps,speaker_independent,emotion_original,mlp,none,3,88,88,960,240,0.463937799911946,0.423328734679844,0.44140625,0.44140625,0.451550650325167,0.4708333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_original,mlp,none,4,88,88,960,240,0.4767661999212578,0.4795959649779483,0.48046875,0.48046875,0.4949023626431448,0.5,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,random_forest,none,0,88,88,960,240,0.412542900070548,0.6019937530792661,0.6302083333333334,0.6302083333333334,0.6513827234308792,0.6708333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,random_forest,none,1,88,88,960,240,0.440306399948895,0.4664712891493077,0.48828125,0.48828125,0.5170203004258732,0.5541666666666667,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,random_forest,none,2,88,88,960,240,0.4368204999482259,0.5723527568922305,0.5611979166666666,0.5611979166666666,0.622907268170426,0.6416666666666667,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,random_forest,none,3,88,88,960,240,0.4338258999632671,0.5367822966507177,0.53515625,0.53515625,0.6053163211057947,0.6333333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,random_forest,none,4,88,88,960,240,0.4383669999660924,0.5689726613694259,0.6015625,0.6015625,0.6310186461243164,0.6708333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,none,0,88,88,960,240,0.0521504000062122,0.5665278285267036,0.5859375,0.5859375,0.5996743692238893,0.5916666666666667,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,none,1,88,88,960,240,0.0507420999929308,0.5262978019020675,0.54296875,0.54296875,0.5470066604984402,0.5375,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,none,2,88,88,960,240,0.0579293998889625,0.6093301729776638,0.6197916666666667,0.6197916666666667,0.6379501725890954,0.6333333333333333,,,,,,,,,
