domain,representation,stage,n_adaptation_speakers,n_adaptation_samples,repeat,seed,adaptation_speakers,train_loss,run_id,target_balanced_accuracy,target_macro_f1_observed,target_accuracy,unsupported_prediction_rate,source_balanced_accuracy,target_gain,source_change
ravdess_song,egemaps,zero_shot,0,0,-1,-1,[],,zero_shot::ravdess_song::egemaps,0.3489583333333333,0.3198714211490427,0.3806818181818182,0.07386363636363637,0.5546875,0.0,0.0
ravdess_song,egemaps,adapted,1,44,0,13,"[""ravdess_15""]",0.509912371635437,adapt::ravdess_song::egemaps::n1::r0::s13,0.390625,0.3840291028640543,0.4147727272727273,0.0625,0.53515625,0.041666666666666685,-0.01953125
ravdess_song,egemaps,adapted,1,44,0,42,"[""ravdess_15""]",0.5099123120307922,adapt::ravdess_song::egemaps::n1::r0::s42,0.390625,0.3840291028640543,0.4147727272727273,0.0625,0.53515625,0.041666666666666685,-0.01953125
ravdess_song,egemaps,adapted,1,44,0,73,"[""ravdess_15""]",0.5099122524261475,adapt::ravdess_song::egemaps::n1::r0::s73,0.390625,0.3840291028640543,0.4147727272727273,0.0625,0.53515625,0.041666666666666685,-0.01953125
ravdess_song,egemaps,adapted,1,44,1,13,"[""ravdess_11""]",0.6858199834823608,adapt::ravdess_song::egemaps::n1::r1::s13,0.3958333333333333,0.38841891507728393,0.4318181818181818,0.08522727272727272,0.515625,0.046875,-0.0390625
ravdess_song,egemaps,adapted,1,44,1,42,"[""ravdess_11""]",0.6858199834823608,adapt::ravdess_song::egemaps::n1::r1::s42,0.3958333333333333,0.38841891507728393,0.4318181818181818,0.08522727272727272,0.515625,0.046875,-0.0390625
ravdess_song,egemaps,adapted,1,44,1,73,"[""ravdess_11""]",0.6858199238777161,adapt::ravdess_song::egemaps::n1::r1::s73,0.3958333333333333,0.38841891507728393,0.4318181818181818,0.08522727272727272,0.515625,0.046875,-0.0390625
ravdess_song,egemaps,adapted,1,44,2,13,"[""ravdess_04""]",24.738672256469727,adapt::ravdess_song::egemaps::n1::r2::s13,0.3854166666666667,0.3281714985662354,0.42045454545454547,0.03409090909090909,0.5,0.03645833333333337,-0.0546875
ravdess_song,egemaps,adapted,1,44,2,42,"[""ravdess_04""]",24.738670349121094,adapt::ravdess_song::egemaps::n1::r2::s42,0.3854166666666667,0.3281714985662354,0.42045454545454547,0.03409090909090909,0.5,0.03645833333333337,-0.0546875
ravdess_song,egemaps,adapted,1,44,2,73,"[""ravdess_04""]",24.738670349121094,adapt::ravdess_song::egemaps::n1::r2::s73,0.3854166666666667,0.3281714985662354,0.42045454545454547,0.03409090909090909,0.5,0.03645833333333337,-0.0546875
ravdess_song,egemaps,adapted,1,44,3,13,"[""ravdess_08""]",2.2398157119750977,adapt::ravdess_song::egemaps::n1::r3::s13,0.4479166666666667,0.41041021551927953,0.4602272727272727,0.022727272727272728,0.515625,0.09895833333333337,-0.0390625
ravdess_song,egemaps,adapted,1,44,3,42,"[""ravdess_08""]",2.2398159503936768,adapt::ravdess_song::egemaps::n1::r3::s42,0.4479166666666667,0.41041021551927953,0.4602272727272727,0.022727272727272728,0.515625,0.09895833333333337,-0.0390625
ravdess_song,egemaps,adapted,1,44,3,73,"[""ravdess_08""]",2.2398157119750977,adapt::ravdess_song::egemaps::n1::r3::s73,0.4479166666666667,0.41041021551927953,0.4602272727272727,0.022727272727272728,0.515625,0.09895833333333337,-0.0390625
ravdess_song,egemaps,adapted,1,44,4,13,"[""ravdess_13""]",0.7260531783103943,adapt::ravdess_song::egemaps::n1::r4::s13,0.3229166666666667,0.26844784532108473,0.3522727272727273,0.07386363636363637,0.47265625,-0.02604166666666663,-0.08203125
ravdess_song,egemaps,adapted,1,44,4,42,"[""ravdess_13""]",0.7260531783103943,adapt::ravdess_song::egemaps::n1::r4::s42,0.3229166666666667,0.26844784532108473,0.3522727272727273,0.07386363636363637,0.47265625,-0.02604166666666663,-0.08203125
ravdess_song,egemaps,adapted,1,44,4,73,"[""ravdess_13""]",0.7260532379150391,adapt::ravdess_song::egemaps::n1::r4::s73,0.3229166666666667,0.26844784532108473,0.3522727272727273,0.07386363636363637,0.47265625,-0.02604166666666663,-0.08203125
ravdess_song,egemaps,adapted,2,88,0,13,"[""ravdess_01"", ""ravdess_17""]",0.8838027824055065,adapt::ravdess_song::egemaps::n2::r0::s13,0.40625,0.4079175329175329,0.4318181818181818,0.05113636363636364,0.55078125,0.057291666666666685,-0.00390625
ravdess_song,egemaps,adapted,2,88,0,42,"[""ravdess_01"", ""ravdess_17""]",0.8886517665602944,adapt::ravdess_song::egemaps::n2::r0::s42,0.40625,0.4079175329175329,0.4318181818181818,0.05113636363636364,0.546875,0.057291666666666685,-0.0078125
ravdess_song,egemaps,adapted,2,88,0,73,"[""ravdess_01"", ""ravdess_17""]",0.893456984650005,adapt::ravdess_song::egemaps::n2::r0::s73,0.4010416666666667,0.40305411548580944,0.42613636363636365,0.05113636363636364,0.55078125,0.05208333333333337,-0.00390625
ravdess_song,egemaps,adapted,2,88,1,13,"[""ravdess_13"", ""ravdess_20""]",0.8393648971210826,adapt::ravdess_song::egemaps::n2::r1::s13,0.3489583333333333,0.29506863299932307,0.375,0.03977272727272727,0.48046875,0.0,-0.07421875
ravdess_song,egemaps,adapted,2,88,1,42,"[""ravdess_13"", ""ravdess_20""]",0.8322299935600974,adapt::ravdess_song::egemaps::n2::r1::s42,0.3489583333333333,0.29639072980134523,0.375,0.03977272727272727,0.48046875,0.0,-0.07421875
ravdess_song,egemaps,adapted,2,88,1,73,"[""ravdess_13"", ""ravdess_20""]",0.8328252543102611,adapt::ravdess_song::egemaps::n2::r1::s73,0.359375,0.3119248466910755,0.3806818181818182,0.03977272727272727,0.4765625,0.010416666666666685,-0.078125
ravdess_song,egemaps,adapted,2,88,2,13,"[""ravdess_13"", ""ravdess_14""]",0.6873821128498424,adapt::ravdess_song::egemaps::n2::r2::s13,0.3645833333333333,0.30126565521076343,0.38636363636363635,0.022727272727272728,0.4921875,0.015625,-0.0625
ravdess_song,egemaps,adapted,2,88,2,42,"[""ravdess_13"", ""ravdess_14""]",0.6787933653051202,adapt::ravdess_song::egemaps::n2::r2::s42,0.359375,0.29171676102622396,0.3806818181818182,0.022727272727272728,0.5078125,0.010416666666666685,-0.046875
