protocol,target,fold,family,family_label,importance_normalized,importance_mean_per_feature,nonzero_fraction,n_features
speaker_independent,emotion_original,0,cepstral_mfcc,MFCC,0.15101248025894165,0.009438280016183853,0.4609375,16
speaker_independent,emotion_original,0,energy_loudness,Loudness y energía,0.15930378437042236,0.013275315053761005,0.4270833333333333,12
speaker_independent,emotion_original,0,formants,Formantes,0.18172353506088257,0.010095751844346523,0.5069444444444444,18
speaker_independent,emotion_original,0,prosody_f0,F0 y prosodia,0.1488904058933258,0.01488904096186161,0.625,10
speaker_independent,emotion_original,0,spectral,Espectro,0.19572243094444275,0.011513084173202515,0.5514705882352942,17
speaker_independent,emotion_original,0,temporal_voicing,Voicing y temporalidad,0.05375833064317703,0.010751666501164436,0.625,5
speaker_independent,emotion_original,0,voice_quality,Calidad vocal,0.10958899557590485,0.010958899743855,0.6875,10
speaker_independent,emotion_original,1,cepstral_mfcc,MFCC,0.13352489471435547,0.008345305919647217,0.6171875,16
speaker_independent,emotion_original,1,energy_loudness,Loudness y energía,0.1498308628797531,0.012485905550420284,0.6979166666666666,12
speaker_independent,emotion_original,1,formants,Formantes,0.17633460462093353,0.009796367026865482,0.7847222222222222,18
speaker_independent,emotion_original,1,prosody_f0,F0 y prosodia,0.16452187299728394,0.016452187672257423,0.8875,10
speaker_independent,emotion_original,1,spectral,Espectro,0.19212396442890167,0.01130140945315361,0.7058823529411765,17
speaker_independent,emotion_original,1,temporal_voicing,Voicing y temporalidad,0.04213578626513481,0.008427157066762447,0.675,5
speaker_independent,emotion_original,1,voice_quality,Calidad vocal,0.14152802526950836,0.014152802526950836,0.8375,10
speaker_independent,emotion_original,2,cepstral_mfcc,MFCC,0.12825584411621094,0.008015990257263184,0.5703125,16
speaker_independent,emotion_original,2,energy_loudness,Loudness y energía,0.15647587180137634,0.013039655983448029,0.6979166666666666,12
speaker_independent,emotion_original,2,formants,Formantes,0.18176740407943726,0.010098189115524292,0.7569444444444444,18
speaker_independent,emotion_original,2,prosody_f0,F0 y prosodia,0.14923718571662903,0.014923718757927418,0.825,10
speaker_independent,emotion_original,2,spectral,Espectro,0.192313551902771,0.01131256204098463,0.7426470588235294,17
speaker_independent,emotion_original,2,temporal_voicing,Voicing y temporalidad,0.04651933163404465,0.0093038659542799,0.825,5
speaker_independent,emotion_original,2,voice_quality,Calidad vocal,0.14543074369430542,0.014543074183166027,0.825,10
speaker_independent,emotion_original,3,cepstral_mfcc,MFCC,0.14834290742874146,0.009271431714296341,0.6171875,16
speaker_independent,emotion_original,3,energy_loudness,Loudness y energía,0.1492280215024948,0.012435668148100376,0.7083333333333334,12
speaker_independent,emotion_original,3,formants,Formantes,0.1713670939207077,0.009520393796265125,0.7708333333333334,18
speaker_independent,emotion_original,3,prosody_f0,F0 y prosodia,0.14347656071186066,0.014347655698657036,0.8125,10
speaker_independent,emotion_original,3,spectral,Espectro,0.18192274868488312,0.010701337829232216,0.7132352941176471,17
speaker_independent,emotion_original,3,temporal_voicing,Voicing y temporalidad,0.04614778608083725,0.00922955758869648,0.7,5
speaker_independent,emotion_original,3,voice_quality,Calidad vocal,0.15951481461524963,0.015951480716466904,0.8625,10
speaker_independent,emotion_original,4,cepstral_mfcc,MFCC,0.14008750021457672,0.008755468763411045,0.2421875,16
speaker_independent,emotion_original,4,energy_loudness,Loudness y energía,0.1443188488483429,0.012026570737361908,0.3020833333333333,12
speaker_independent,emotion_original,4,formants,Formantes,0.18000254034996033,0.010000141337513924,0.3541666666666667,18
speaker_independent,emotion_original,4,prosody_f0,F0 y prosodia,0.1674347221851349,0.01674347184598446,0.5125,10
speaker_independent,emotion_original,4,spectral,Espectro,0.17437735199928284,0.010257490910589695,0.2867647058823529,17
speaker_independent,emotion_original,4,temporal_voicing,Voicing y temporalidad,0.034847442060709,0.006969488225877285,0.275,5
speaker_independent,emotion_original,4,voice_quality,Calidad vocal,0.15893159806728363,0.015893159434199333,0.4375,10
speaker_independent,emotion_quadrant,0,cepstral_mfcc,MFCC,0.116767518222332,0.00729796988889575,0.65625,16
speaker_independent,emotion_quadrant,0,energy_loudness,Loudness y energía,0.13916203379631042,0.011596836149692535,0.7708333333333334,12
speaker_independent,emotion_quadrant,0,formants,Formantes,0.16420000791549683,0.009122222661972046,0.6805555555555556,18
speaker_independent,emotion_quadrant,0,prosody_f0,F0 y prosodia,0.17288583517074585,0.017288584262132645,0.825,10
speaker_independent,emotion_quadrant,0,spectral,Espectro,0.22332067787647247,0.013136510737240314,0.7352941176470589,17
speaker_independent,emotion_quadrant,0,temporal_voicing,Voicing y temporalidad,0.06235785037279129,0.012471569702029228,0.9,5
speaker_independent,emotion_quadrant,0,voice_quality,Calidad vocal,0.1213061511516571,0.012130615301430225,0.75,10
speaker_independent,emotion_quadrant,1,cepstral_mfcc,MFCC,0.10521039366722107,0.006575649604201317,0.453125,16
speaker_independent,emotion_quadrant,1,energy_loudness,Loudness y energía,0.140667125582695,0.011722260154783726,0.4791666666666667,12
speaker_independent,emotion_quadrant,1,formants,Formantes,0.18575967848300934,0.010319981724023819,0.6111111111111112,18
speaker_independent,emotion_quadrant,1,prosody_f0,F0 y prosodia,0.16017045080661774,0.016017045825719833,0.6,10
speaker_independent,emotion_quadrant,1,spectral,Espectro,0.23119740188121796,0.013599847443401814,0.5441176470588235,17
