representation,protocol,target,model,refinement,fold,seed,result_type,n_input_features,n_features,best_C,best_l1_ratio,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy
egemaps,speaker_independent,emotion_original,logistic_regression,elastic_net,0,42,deterministic,88,85,1.0,0.9,100.1259300999991,0.44266732247369706,0.4406676656676657,0.4406676656676657,0.45458673382456904,0.44680851063829785
egemaps,speaker_independent,emotion_original,logistic_regression,elastic_net,1,42,deterministic,88,87,0.1,0.1,91.68605899999966,0.5354870963892909,0.5395906177156178,0.5395906177156178,0.5464699775414714,0.5393258426966292
egemaps,speaker_independent,emotion_original,logistic_regression,elastic_net,2,42,deterministic,88,87,0.1,0.1,109.70832669999982,0.48528414954498544,0.49154040404040406,0.49154040404040406,0.5023929617175502,0.506578947368421
egemaps,speaker_independent,emotion_original,logistic_regression,elastic_net,3,42,deterministic,88,87,0.1,0.1,104.71739600000001,0.47787804226580277,0.5225378787878788,0.5225378787878788,0.47007007108444565,0.512987012987013
egemaps,speaker_independent,emotion_original,logistic_regression,elastic_net,4,42,deterministic,88,83,0.1,0.5,93.66570569999931,0.4084207382195356,0.42168248418248416,0.42168248418248416,0.4293527946511295,0.4322916666666667
egemaps,speaker_independent,emotion_quadrant,logistic_regression,elastic_net,0,42,deterministic,88,86,0.1,0.1,55.67462490000071,0.5880317788548151,0.6022934173669467,0.6022934173669467,0.6233213471863157,0.6117021276595744
egemaps,speaker_independent,emotion_quadrant,logistic_regression,elastic_net,1,42,deterministic,88,82,1.0,0.9,56.24833000000035,0.5544385647319255,0.5542929292929293,0.5542929292929293,0.6006659001980726,0.5898876404494382
egemaps,speaker_independent,emotion_quadrant,logistic_regression,elastic_net,2,42,deterministic,88,88,10.0,0.5,63.89223590000074,0.5928751899455044,0.6057291666666667,0.6057291666666667,0.6261037983462407,0.625
egemaps,speaker_independent,emotion_quadrant,logistic_regression,elastic_net,3,42,deterministic,88,77,0.1,0.5,55.79917440000099,0.5912648044795186,0.5943042172880882,0.5943042172880882,0.6159223962648048,0.6233766233766234
egemaps,speaker_independent,emotion_quadrant,logistic_regression,elastic_net,4,42,deterministic,88,73,0.1,0.5,57.145719300000565,0.5238639649306902,0.5771820175438597,0.5771820175438597,0.5142530224107631,0.5260416666666666
egemaps,speaker_dependent,emotion_original,logistic_regression,elastic_net,0,42,deterministic,88,88,1.0,0.1,112.6613099999995,0.46988487613249547,0.47632575757575757,0.47632575757575757,0.47860777958576367,0.47701149425287354
egemaps,speaker_dependent,emotion_original,logistic_regression,elastic_net,1,42,deterministic,88,87,1.0,0.5,111.89786350000031,0.48314470872069426,0.4805871212121212,0.4805871212121212,0.49890572048005444,0.4942528735632184
egemaps,speaker_dependent,emotion_original,logistic_regression,elastic_net,2,42,deterministic,88,88,1.0,0.5,108.63547910000125,0.47001615774665984,0.4881628787878788,0.4881628787878788,0.4711322773798995,0.48255813953488375
egemaps,speaker_dependent,emotion_original,logistic_regression,elastic_net,3,42,deterministic,88,88,1.0,0.1,92.09839410000131,0.5604428530305403,0.5657196969696969,0.5657196969696969,0.5887596880833407,0.5930232558139535
egemaps,speaker_dependent,emotion_original,logistic_regression,elastic_net,4,42,deterministic,88,84,1.0,0.9,106.36527770000066,0.4548238348492153,0.4569128787878788,0.4569128787878788,0.4810873303006131,0.48255813953488375
egemaps,speaker_dependent,emotion_quadrant,logistic_regression,elastic_net,0,42,deterministic,88,85,1.0,0.9,52.52889080000023,0.6392151767151767,0.6754586304218657,0.6754586304218657,0.6455397041603939,0.6436781609195402
egemaps,speaker_dependent,emotion_quadrant,logistic_regression,elastic_net,1,42,deterministic,88,88,10.0,0.1,65.5931956000004,0.595405574255406,0.5982079425973288,0.5982079425973288,0.6197789900439418,0.6091954022988506
egemaps,speaker_dependent,emotion_quadrant,logistic_regression,elastic_net,2,42,deterministic,88,87,0.1,0.1,55.4664916999991,0.5210036524786306,0.5302642796248934,0.5302642796248934,0.5552243048618899,0.5581395348837209
egemaps,speaker_dependent,emotion_quadrant,logistic_regression,elastic_net,3,42,deterministic,88,88,0.1,0.1,52.579667699999845,0.6887415324401627,0.6958120204603581,0.6958120204603581,0.7299939436161162,0.7267441860465116
egemaps,speaker_dependent,emotion_quadrant,logistic_regression,elastic_net,4,42,deterministic,88,88,1.0,0.5,58.045214800000394,0.6074403594771242,0.6237851662404093,0.6237851662404093,0.6330082459340326,0.627906976744186
