protocol,target,model,method,fold,family,family_label,importance_sum,importance_mean_per_feature,importance_signed_mean,n_features,importance_normalized
speaker_independent,emotion_original,random_forest,rf_impurity,0,prosody_f0,F0 y prosodia,0.1250385400667787,0.01250385400667787,0.01250385400667787,10,0.15568858637213362
speaker_independent,emotion_original,random_forest,rf_impurity,0,energy_loudness,Loudness y energía,0.19863011598602962,0.01655250966550247,0.01655250966550247,12,0.20609940178099112
speaker_independent,emotion_original,random_forest,rf_impurity,0,spectral,Espectro,0.1863119135504721,0.01095952432649836,0.01095952432649836,17,0.13645975463183424
speaker_independent,emotion_original,random_forest,rf_impurity,0,cepstral_mfcc,MFCC,0.1455638180709055,0.009097738629431593,0.009097738629431593,16,0.11327819931701859
speaker_independent,emotion_original,random_forest,rf_impurity,0,voice_quality,Calidad vocal,0.1271677252109364,0.012716772521093638,0.012716772521093638,10,0.15833968758493905
speaker_independent,emotion_original,random_forest,rf_impurity,0,formants,Formantes,0.1729020578138985,0.009605669878549918,0.009605669878549918,18,0.11960257723339786
speaker_independent,emotion_original,random_forest,rf_impurity,0,temporal_voicing,Voicing y temporalidad,0.0443858293009747,0.008877165860194939,0.008877165860194939,5,0.11053179307968557
speaker_independent,emotion_original,random_forest,rf_permutation,0,prosody_f0,F0 y prosodia,0.10319752082737389,0.01031975208273739,0.00962615286587645,10,0.1995630751461999
speaker_independent,emotion_original,random_forest,rf_permutation,0,energy_loudness,Loudness y energía,0.0928717240002603,0.007739310333355024,0.0062750263644802415,12,0.1496625652682739
speaker_independent,emotion_original,random_forest,rf_permutation,0,spectral,Espectro,0.1324540139285548,0.007791412584032635,0.007020378986762105,17,0.1506701171245491
speaker_independent,emotion_original,random_forest,rf_permutation,0,cepstral_mfcc,MFCC,0.0809343566780571,0.0050583972923785685,0.004127213442728968,16,0.09781914438302176
speaker_independent,emotion_original,random_forest,rf_permutation,0,voice_quality,Calidad vocal,0.0762128608542567,0.00762128608542567,0.00597597916009375,10,0.14738021568567114
speaker_independent,emotion_original,random_forest,rf_permutation,0,formants,Formantes,0.08643731409038741,0.004802073005021523,0.0041925132005265885,18,0.09286235253283794
speaker_independent,emotion_original,random_forest,rf_permutation,0,temporal_voicing,Voicing y temporalidad,0.0418974986676261,0.00837949973352522,0.00837949973352522,5,0.16204252985944617
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,prosody_f0,F0 y prosodia,4.265779893816887,0.4265779893816887,0.4265779893816887,10,0.1569689602748427
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,energy_loudness,Loudness y energía,5.35159968209151,0.4459666401742925,0.4459666401742925,12,0.16410345017306352
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,spectral,Espectro,6.602340618548181,0.38837297756165773,0.38837297756165773,17,0.14291056736204658
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,cepstral_mfcc,MFCC,5.419819882976479,0.33873874268602994,0.33873874268602994,16,0.12464653490749475
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,voice_quality,Calidad vocal,3.9939556369283737,0.39939556369283735,0.39939556369283735,10,0.14696657570663801
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,formants,Formantes,6.6127163463058265,0.3673731303503237,0.3673731303503237,18,0.1351832015233366
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,0,temporal_voicing,Voicing y temporalidad,1.7558474804249986,0.3511694960849997,0.3511694960849997,5,0.12922071005257788
speaker_independent,emotion_original,random_forest,rf_impurity,1,prosody_f0,F0 y prosodia,0.1295556054956307,0.01295556054956307,0.01295556054956307,10,0.16193786268368524
speaker_independent,emotion_original,random_forest,rf_impurity,1,energy_loudness,Loudness y energía,0.2152995318870454,0.017941627657253784,0.017941627657253784,12,0.22426114445354192
speaker_independent,emotion_original,random_forest,rf_impurity,1,spectral,Espectro,0.1933499029154456,0.011373523700908564,0.011373523700908564,17,0.14216321341414176
speaker_independent,emotion_original,random_forest,rf_impurity,1,cepstral_mfcc,MFCC,0.1330060907173968,0.0083128806698373,0.0083128806698373,16,0.10390674515919529
speaker_independent,emotion_original,random_forest,rf_impurity,1,voice_quality,Calidad vocal,0.1258235962387339,0.01258235962387339,0.01258235962387339,10,0.15727304250654534
speaker_independent,emotion_original,random_forest,rf_impurity,1,formants,Formantes,0.1644627074688376,0.009136817081602088,0.009136817081602088,18,0.11420552775513279
speaker_independent,emotion_original,random_forest,rf_impurity,1,temporal_voicing,Voicing y temporalidad,0.0385025652769063,0.0077005130553812595,0.0077005130553812595,5,0.09625246402775768
speaker_independent,emotion_original,random_forest,rf_permutation,1,prosody_f0,F0 y prosodia,0.0545790928552461,0.0054579092855246095,-0.00467453611341451,10,0.14883294763518815
speaker_independent,emotion_original,random_forest,rf_permutation,1,energy_loudness,Loudness y energía,0.0835282010513676,0.0069606834209473,-0.006212457459940417,12,0.1898124312623848
speaker_independent,emotion_original,random_forest,rf_permutation,1,spectral,Espectro,0.0710420040240556,0.004178941413179741,-0.002112907180720965,17,0.11395648699546254
speaker_independent,emotion_original,random_forest,rf_permutation,1,cepstral_mfcc,MFCC,0.07081529759974992,0.00442595609998437,-0.0018174125507494318,16,0.12069238567443483
speaker_independent,emotion_original,random_forest,rf_permutation,1,voice_quality,Calidad vocal,0.0565365092713518,0.00565365092713518,-0.00401121857031068,10,0.15417067019007144
speaker_independent,emotion_original,random_forest,rf_permutation,1,formants,Formantes,0.1042458656339288,0.005791436979662712,-0.0017450855625185887,18,0.1579279888386386
speaker_independent,emotion_original,random_forest,rf_permutation,1,temporal_voicing,Voicing y temporalidad,0.0210139995002077,0.00420279990004154,-0.00207922931426794,5,0.11460708940381965
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,1,prosody_f0,F0 y prosodia,4.68955592254683,0.46895559225468303,0.46895559225468303,10,0.17955778755947885
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,1,energy_loudness,Loudness y energía,5.464376842842597,0.4553647369035498,0.4553647369035498,12,0.17435400289799843
speaker_independent,emotion_original,logistic_regression,logreg_coefficient,1,spectral,Espectro,6.958489966035778,0.40932293917857515,0.40932293917857515,17,0.15672511975575898
