representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,experiment,family,family_label,baseline_balanced_accuracy,delta_balanced_accuracy
egemaps,speaker_independent,emotion_original,logistic_regression,all_features,0,88,88,960,240,0.06942909999997937,0.5835246884081512,0.59375,0.59375,0.5942212060968999,0.5875,all_features,all,Todas las familias,0.59375,0.0
egemaps,speaker_independent,emotion_original,logistic_regression,all_features,1,88,88,960,240,0.10879939999904309,0.4542582182743593,0.4296875,0.4296875,0.45914527409582456,0.44166666666666665,all_features,all,Todas las familias,0.4296875,0.0
egemaps,speaker_independent,emotion_original,logistic_regression,all_features,2,88,88,960,240,0.06738469999982044,0.46454559796924033,0.48828125,0.48828125,0.4649597489449675,0.475,all_features,all,Todas las familias,0.48828125,0.0
egemaps,speaker_independent,emotion_original,logistic_regression,all_features,3,88,88,960,240,0.06347689999893191,0.5217442278837401,0.5234375,0.5234375,0.5354745448303754,0.5333333333333333,all_features,all,Todas las familias,0.5234375,0.0
egemaps,speaker_independent,emotion_original,logistic_regression,all_features,4,88,88,960,240,0.0674124999986816,0.4266125873930607,0.4296875,0.4296875,0.4402386117377832,0.45,all_features,all,Todas las familias,0.4296875,0.0
egemaps,speaker_independent,emotion_original,logistic_regression,family_only:prosody_f0,0,10,10,960,240,0.02557840000008582,0.32951855245522527,0.33984375,0.33984375,0.3320925165583009,0.32916666666666666,family_only,prosody_f0,F0 y prosodia,0.59375,-0.25390625
egemaps,speaker_independent,emotion_original,logistic_regression,family_only:prosody_f0,1,10,10,960,240,0.02674020000085875,0.23960587915098985,0.27734375,0.27734375,0.25207083249789797,0.2916666666666667,family_only,prosody_f0,F0 y prosodia,0.4296875,-0.15234375
egemaps,speaker_independent,emotion_original,logistic_regression,family_only:prosody_f0,2,10,10,960,240,0.027295699999740464,0.30357391258925787,0.33203125,0.33203125,0.3074019170182853,0.32083333333333336,family_only,prosody_f0,F0 y prosodia,0.48828125,-0.15625
egemaps,speaker_independent,emotion_original,logistic_regression,family_only:prosody_f0,3,10,10,960,240,0.029463299999406445,0.31613004168489106,0.3359375,0.3359375,0.321043761635601,0.325,family_only,prosody_f0,F0 y prosodia,0.5234375,-0.1875
egemaps,speaker_independent,emotion_original,logistic_regression,family_only:prosody_f0,4,10,10,960,240,0.026545400000031805,0.26209631030578084,0.2734375,0.2734375,0.26807514478593636,0.2708333333333333,family_only,prosody_f0,F0 y prosodia,0.4296875,-0.15625
egemaps,speaker_independent,emotion_original,logistic_regression,leave_one_family_out:prosody_f0,0,78,78,960,240,0.08215230000132578,0.5451685944630804,0.5625,0.5625,0.553840211452443,0.5541666666666667,leave_one_family_out,prosody_f0,F0 y prosodia,0.59375,-0.03125
egemaps,speaker_independent,emotion_original,logistic_regression,leave_one_family_out:prosody_f0,1,78,78,960,240,0.07253429999946093,0.40275205807069625,0.38671875,0.38671875,0.4105545762277903,0.4,leave_one_family_out,prosody_f0,F0 y prosodia,0.4296875,-0.04296875
egemaps,speaker_independent,emotion_original,logistic_regression,leave_one_family_out:prosody_f0,2,78,78,960,240,0.08844719999979134,0.45348110743482195,0.48828125,0.48828125,0.4496706280723207,0.4708333333333333,leave_one_family_out,prosody_f0,F0 y prosodia,0.48828125,0.0
