configuration,protocol,target,pooling,fold,seed,layer,weight
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,0,0.08256424963474274
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,1,0.06732765585184097
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,2,0.07511042058467865
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,3,0.08698133379220963
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,4,0.08541249483823776
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,5,0.08857748657464981
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,6,0.0879971906542778
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,7,0.07627047598361969
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,8,0.0803888738155365
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,9,0.06886070221662521
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,10,0.06942997127771378
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,11,0.06504039466381073
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,13,12,0.06603875011205673
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,0,0.08538559824228287
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,1,0.06947015970945358
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,2,0.07270283997058868
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,3,0.09223403036594391
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,4,0.08772943913936615
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,5,0.08321350812911987
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,6,0.08626255393028259
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,7,0.0851026102900505
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,8,0.07782039791345596
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,9,0.06527811288833618
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,10,0.0660560354590416
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,11,0.06362251192331314
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,42,12,0.06512223929166794
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,73,0,0.08168107271194458
learned_layers_mean_std,speaker_independent,emotion_original,mean_std,0,73,1,0.06939911842346191
