representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed,result_type,trainable_params,best_epoch,seed_macro_f1_std,layer_strategy,pooling
wav2vec_temporal,speaker_independent,emotion_original,logistic_regression,average_mean_std,0,1536,1536,960.0,240.0,0.30504110001493245,0.7324329809060961,0.734375,0.734375,0.7452258102637999,0.7416666666666667,-1,deterministic,,,,,
wav2vec_temporal,speaker_independent,emotion_original,logistic_regression,average_mean_std,1,1536,1536,960.0,240.0,0.27610090002417564,0.6591084073736702,0.63671875,0.63671875,0.6616696575204206,0.6416666666666667,-1,deterministic,,,,,
wav2vec_temporal,speaker_independent,emotion_original,logistic_regression,average_mean_std,2,1536,1536,960.0,240.0,0.30853059992659837,0.7703676033205356,0.76953125,0.76953125,0.7757484320476516,0.7791666666666667,-1,deterministic,,,,,
wav2vec_temporal,speaker_independent,emotion_original,logistic_regression,average_mean_std,3,1536,1536,960.0,240.0,0.3291560000507161,0.7204697227928032,0.7265625,0.7265625,0.7227867519313711,0.725,-1,deterministic,,,,,
wav2vec_temporal,speaker_independent,emotion_original,logistic_regression,average_mean_std,4,1536,1536,960.0,240.0,0.33162129996344447,0.7640275040596795,0.76171875,0.76171875,0.7660737821081026,0.7666666666666667,-1,deterministic,,,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,0,19968,1536,,,2.7650779000250623,0.680608023120895,0.6796875,0.6796875,0.7057798711269344,0.7041666666666667,13,seed,15381.0,34.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,0,19968,1536,,,2.007503499975428,0.7002648339271146,0.69921875,0.69921875,0.7181203273600933,0.7125,42,seed,15381.0,29.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,0,19968,1536,,,3.4027492000022903,0.7068321232474823,0.70703125,0.70703125,0.7196685505116004,0.7166666666666667,73,seed,15381.0,48.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,0,19968,1536,,,,0.7045429330736126,0.703125,0.703125,0.7240614815530299,0.7208333333333333,-1,ensemble,12309.0,,0.01114162828484144,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,1,19968,1536,,,2.476644100039266,0.6457249948857735,0.625,0.625,0.6506780897829202,0.6333333333333333,13,seed,15381.0,29.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,1,19968,1536,,,1.149881900055334,0.646529281795868,0.62109375,0.62109375,0.6509215564962377,0.625,42,seed,15381.0,14.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,1,19968,1536,,,0.33878079999703914,0.6622914963902913,0.65234375,0.65234375,0.6660402224122702,0.6541666666666667,73,seed,15381.0,5.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,1,19968,1536,,,,0.6677462221802978,0.64453125,0.64453125,0.6735529595729628,0.65,-1,ensemble,12309.0,,0.007627022562016578,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,2,19968,1536,,,0.44223270006477833,0.6538575556029338,0.6640625,0.6640625,0.6593528212145578,0.6666666666666666,13,seed,15381.0,6.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,2,19968,1536,,,1.6734140999615192,0.7716180638629926,0.78125,0.78125,0.76750371256497,0.7708333333333334,42,seed,15381.0,24.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,2,19968,1536,,,1.0940221999771893,0.7520836428507047,0.75390625,0.75390625,0.7537377038892364,0.7541666666666667,73,seed,15381.0,15.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,2,19968,1536,,,,0.7601524557561923,0.76953125,0.76953125,0.755273730584383,0.7583333333333333,-1,ensemble,12309.0,,0.051529382261169314,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,3,19968,1536,,,0.7538880000356585,0.6925939573667141,0.70703125,0.70703125,0.6892430783340189,0.7,13,seed,15381.0,11.0,,,
